Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Код:
3,4280422,"510 сая ₮
Олонлог академи сургуулийн хажууд 4 өрөө
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",117.0,4.0,,,,,,,,,,,,,,,,,,,,,,
14,4376402,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
5 өдрийн өмнө
УБ — Баянзүрх, Амгалан",63.0,15.0,,,,,,,,,,,,,,,,,,,,,,
35,4623219,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",63.0,36.0,,,,,,,,,,,,,,,,,,,,,,
20,4780518,"6.57 сая ₮
Time classic tower 5 uruu
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",106.0,21.0,,,,,,,,,,,,,,,,,,,,,,
12,4912614,"143 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Нисэх",63.0,13.0,,,,,,,,,,,,,,,,,,,,,,
31,4936553,"345 сая ₮
Хүннү тауэрт 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул",131.0,32.0,,,,,,,,,,,,,,,,,,,,,,
56,4952750,"119 сая ₮
Нүхтэд 58.3м2 2 өрөө байр
Өнөөдөр
УБ — Хан-Уул, Яармаг",7.0,57.0,,,,,,,,,,,,,,,,,,,,,,
48,4952750,,7.0,49.0,Нүхтэд 58.3м2 2 өрөө байр,"119 сая ₮
үнэ тохирно",2024-03-18,17:27,,2 өрөө,"УБ — Хан-Уул, Яармаг","
Нүхтийн баруун энгэрт
K1 тэмдэгээр баруун эргэж
Paragon хотхоны дээр",https://www.unegui.mn/adv/4952750_nukht-d-57m2-2oroo-shine-bair-zarna/,Паркет,Тагтгүй,2021.0,Байхгүй,Вакум,3.0,Бүргэд,58.3 м²,1.0,Лизинггүй,2.0,Ашиглалтад орсон,
8,5032440,"600 сая ₮
Зайсан, golden vill хотхон 4 өрөө
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",63.0,9.0,,,,,,,,,,,,,,,,,,,,,,
8,5060517,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө 78м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",98.0,9.0,,,,,,,,,,,,,,,,,,,,,,
27,5091346,"4.8 сая ₮
Худ зайсан royal crown villa хотхонд 5 өрөө 309м2
Өчигдөр
УБ — Хан-Уул, Зайсан",22.0,28.0,,,,,,,,,,,,,,,,,,,,,,
6,5138471,"189 сая ₮
Baynzurh 2 oroo 60m2
1 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",97.0,7.0,,,,,,,,,,,,,,,,,,,,,,
37,5203939,"850 сая ₮
Уб сувилалын зүүн урд 7 өрөө дуплекс
5 өдрийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",63.0,38.0,,,,,,,,,,,,,,,,,,,,,,
25,5329778,"392 сая ₮
King towert 98 m2 3 uruu bair
2 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",111.0,26.0,,,,,,,,,,,,,,,,,,,,,,
23,5357679,"170 сая ₮
Угсармалын гал тогоо тусдаа 3 өрөө байр 80м2
1 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",97.0,24.0,,,,,,,,,,,,,,,,,,,,,,
12,5470523,"3.8 сая ₮
Арцат апартмент 80 мкв 3 өрөө artsat 1t
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",80.0,13.0,,,,,,,,,,,,,,,,,,,,,,
