Unnamed: 0,id,data,ad_page,ad_order
37,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",79,38
45,1327550,"200 сая ₮
Сансарт 80мкв 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, Сансар",106,46
36,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",79,37
40,2585427,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
6 өдрийн өмнө
УБ — Хан-Уул, Нисэх",70,41
29,2626990,"600 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
6 өдрийн өмнө
УБ — Хан-Уул, Зайсан",70,30
28,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
6 өдрийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",70,29
27,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
6 өдрийн өмнө
УБ — Хан-Уул, Нисэх",70,28
14,3292229,"438 сая ₮
Акоёо резидэнс 3 өрөө байр 83м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",113,15
41,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",79,42
11,3794031,"515.2 сая ₮
King tower хотхонд 3 өрөө байр
4 өдрийн өмнө
УБ — Хан-Уул, King Tower",50,12
54,3969968,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд байрлалтай, хүннү тауэрт 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул",123,55
3,4214853,"75 сая ₮ 85 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
4 өдрийн өмнө
УБ — Баянзүрх, 16-р хороолол",50,4
2,4224701,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
4 өдрийн өмнө
УБ — Баянзүрх, Амгалан",50,3
1,4224715,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр
4 өдрийн өмнө
УБ — Хан-Уул, Мишээл",50,2
0,4224739,"515.2 сая ₮
King tower-т 3өрөө байр 114.5м2
4 өдрийн өмнө
УБ — Хан-Уул, Зайсан",50,1
29,4266590,"663.55 сая ₮
Time classic tower хотын төвд 102.57мкв 3 өрөө
1 долоо хоногийн өмнө
УБ — Чингэлтэй, 50 мянгат",96,30
30,4266618,"5.84 сая ₮
Хотын төвд time classic tower 4 өрөө 116.66м2
1 долоо хоногийн өмнө
УБ — Чингэлтэй, 50 мянгат",96,31
26,4280422,"510 сая ₮
Олонлог академи сургуулийн хажууд 4 өрөө
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",108,27
18,4376402,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
4 өдрийн өмнө
УБ — Баянзүрх, Амгалан",50,19
31,4780518,"6.57 сая ₮
Time classic tower 5 uruu
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",96,32
25,4897569,"5.4 сая ₮
Хүннү 2222 117м2 4 өрөө
1 сарын өмнө
УБ — Хан-Уул, Хүннү",151,26
16,4912614,"143 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
4 өдрийн өмнө
УБ — Хан-Уул, Нисэх",50,17
53,4936553,"345 сая ₮
Хүннү тауэрт 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул",123,54
5,4952750,"119 сая ₮
Нүхтэд 58.3м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",104,6
12,5032440,"600 сая ₮
Зайсан, golden vill хотхон 4 өрөө
4 өдрийн өмнө
УБ — Хан-Уул, Зайсан",50,13
55,5060517,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө 78м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",87,56
53,5138471,"189 сая ₮
Baynzurh 2 oroo 60m2
1 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",86,54
54,5329778,"392 сая ₮
King towert 98 m2 3 uruu bair
1 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",101,55
10,5357679,"165 сая ₮
Угсармалын гал тогоо тусдаа 3 өрөө байр 80м2
1 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",87,11
42,5470523,"3.8 сая ₮
Арцат апартмент 80 мкв 3 өрөө artsat 1t
6 өдрийн өмнө
УБ — Хан-Уул, Нисэх",68,43
32,5642109,"3.2 сая ₮
Буянт од 2 өрөө 41м2 байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, 15-р хороолол",115,33
36,5736213,"490 сая ₮
Зайсангийн гэрэлт хотхонд 125м2 4 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",100,37
39,5810659,"2.45 сая ₮ 2.8 сая ₮
Хануул дүүрэг 4 өрөө байр 139м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",118,40
32,5815321,"171.94 сая ₮
Хангай хотхоны хойно, арга билиг хотхонд 53.73мкв 2 өрөө байр
6 өдрийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",70,33
