Unnamed: 0,id,data,ad_page,ad_order
38,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",76,39
2,1327550,"200 сая ₮
Сансарт 80мкв 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, Сансар",107,3
40,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",76,41
5,2317839,"321.8 сая ₮
Зайсанд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",95,6
42,2585427,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",136,43
35,2626990,"500 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",136,36
34,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
2 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",136,35
33,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",136,34
4,3292229,"372 сая ₮
Акоёо резидэнс 3 өрөө байр 83м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",95,5
36,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",76,37
49,3584318,"Remax Sky Undarmaa
352 сая ₮
Рапид харш хотхонд гал тогоо тусдаа 3 өрөө байр 104мкв
Өчигдөр
УБ — Хан-Уул, Хурд",15,50
1,3752042,"5.7 сая ₮
Жапан таунд 3 өрөө байр 79.9м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",129,2
22,3759983,"450 сая ₮
Жапан таун хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",128,23
43,3969968,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд байрлалтай, хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",105,44
0,4045013,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",129,1
51,4280422,"510 сая ₮
Олонлог академи сургуулийн хажууд 4 өрөө
4 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",152,52
41,4936553,"345 сая ₮
Хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",105,42
48,5060517,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө 78м2
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",58,49
52,5091346,"4.8 сая ₮
Худ зайсан royal crown villa хотхонд 5 өрөө 309м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",112,53
45,5138471,"189 сая ₮
Baynzurh 13 horoolol 2 oroo 60m2
1 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",86,46
33,5329778,"392 сая ₮
King towert 98 m2 3 uruu bair
6 өдрийн өмнө
УБ — Хан-Уул, King Tower",71,34
34,5357679,"170 сая ₮
Угсармалын гал тогоо тусдаа 3 өрөө байр 80м2
4 өдрийн өмнө
УБ — Баянгол, 3, 4 хороолол",44,35
5,5603697,"2.6 сая ₮
Зэндмэнэ эрдэнэ хотхоны 1а блокт 2 өрөө байр 53.81м2
3 өдрийн өмнө
УБ — Хан-Уул, Яармаг",35,6
24,5642109,"3.2 сая ₮
Буянт од 2 өрөө 41м2 байр
4 өдрийн өмнө
УБ — Баянзүрх, 15-р хороолол",46,25
9,5736213,"490 сая ₮
Зайсангийн гэрэлт хотхонд 125м2 4 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",149,10
37,5815321,"171.94 сая ₮
Хангай хотхоны хойно, арга билиг хотхонд 53.73мкв 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",136,38
22,5837091,"3.6 сая ₮
Худ- т 2 өрөө байр 47m2
1 долоо хоногийн өмнө
УБ — Хан-Уул, 19-р хороолол",99,23
5,5850660,"800 сая ₮
Royal castle хотхонд 5 өрөө байр 240мкв
1 долоо хоногийн өмнө
УБ — Баянзүрх, Сансар",92,6
15,5858154,"350 сая ₮
50 мянгатын 3 өрөө 80м2 байр
Өчигдөр
УБ — Чингэлтэй, 50 мянгат",15,16
9,5979442,"3 сая ₮ 3.4 сая ₮
Хан вилла 2 өрөө байр 52,85м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",94,10
6,6005669,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",128,7
7,6005696,"200 сая ₮
Москва хороололд 3 өрөө байр 89.33m2
2 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",128,8
39,6018704,"75 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр 25.84м2
2 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",136,40
44,6074084,"171.94 сая ₮
Хангай хотхоны хойно арга билиг хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",136,45
45,6077836,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",136,46
46,6077881,"75 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",136,47
43,6082048,"1.1 Тэрбум ₮
Зайсанд chariot residence хотхонд 205мкв 4 өрөө
Өчигдөр
УБ — Хан-Уул, Зайсан",14,44
5,6097602,"4.1 сая ₮
Мандала гарден 4 өрөө 106м2
Өнөөдөр
УБ — Хан-Уул, Хан-Уул, Хороо 4",9,6
48,6104016,"201.63 сая ₮
Худ 15 хороо дөл хотхонд 57.61м2 2 өрөө байр
2 өдрийн өмнө
УБ — Хан-Уул, 19-р хороолол",23,49
51,6104046,"255 сая ₮
Худ 19 хороо дөл хотхонд 72,86м2 3 өрөө
2 өдрийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",23,52
38,6118628,"2.7 сая ₮
Гарден вилла 4 өрөө 74.34м2
2 өдрийн өмнө
УБ — Хан-Уул, Яармаг",23,39
40,6153583,"260 сая ₮
Олимп хотхонд 3 өрөө байр 64.3m2
2 долоо хоногийн өмнө
УБ — Баянзүрх, Олимп хотхон",127,41
12,6156215,"3.6 сая ₮
Худ мишээлд 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",104,13
34,6156318,"720 сая ₮
Ncd vega city 3 uruu 104 m2
6 өдрийн өмнө
УБ — Хан-Уул, Japan town",71,35
53,6171892,"2.9 сая ₮
Худ 6 өрөө дуплекс байр 210м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Оддын хороолол",129,54
19,6189441,"350 сая ₮
Hunnu tower-д 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",76,20
29,6240959,"71.3 сая ₮
Цайз захын баруун талд 2 өрөө
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 15",124,30
30,6243379,"77.5 сая ₮
Цайз захын баруун талд 2 өрөө байр 50м2
2 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",124,31
20,6265286,"215 сая ₮
Суис-ийн баруун хойно 58мкв 2 өрөө байр
Virtual tour
1 долоо хоногийн өмнө
УБ — Чингэлтэй, Чингэлтэй, Хороо 6",107,21
56,6277301,"110 сая ₮
Баянзүрх 2 өрөө байр 44м2
1 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",106,57
1,6290326,"130 сая ₮ 150 сая ₮
Налайх дүүрэгт 3 өрөө
3 долоо хоногийн өмнө
УБ — Налайх",145,2
27,6299813,"3 сая ₮
Зайсанд 144мкв 4 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",126,28
52,6354686,"370 сая ₮
Тээврийн товчоонд 4 өрөө 122.6м2
6 өдрийн өмнө
УБ — Баянгол, Тээврийн товчоо",72,53
59,6375990,"3.8 сая ₮
Бзд, 3-р хороо, 165.4мкв 4 өрөө байр
Өчигдөр
УБ — Баянзүрх, 13-р хороолол",15,60
24,6400741,"83 сая ₮
Нисэх, буянт-ухаа 1 хороололд 1 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",128,25
32,6402365,"569.43 сая ₮
Жаргалан хотхонд 6 өрөө дуплекс
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",136,33
46,6416235,"2.3 сая ₮
3 oroo bair
3 өдрийн өмнө
УБ — Сонгинохайрхан, 1-р хороолол",37,47
