Unnamed: 0,id,data,ad_page,ad_order
55,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
2 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",31,56
28,1327550,"200 сая ₮
Сансарт 80мкв 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, Сансар",77,29
54,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
2 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",31,55
52,2317839,"321.8 сая ₮
Зайсанд 3 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",54,53
55,2585427,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
Өнөөдөр
УБ — Хан-Уул, Нисэх",17,56
39,2626990,"600 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
Өнөөдөр
УБ — Хан-Уул, Зайсан",17,40
38,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
Өнөөдөр
УБ — Хан-Уул, Цэлмэг хотхон",17,39
37,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
Өнөөдөр
УБ — Хан-Уул, Нисэх",17,38
7,3292229,"438 сая ₮
Акоёо резидэнс 3 өрөө байр 83м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",87,8
0,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
2 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",32,1
17,3584318,"Remax Sky Undarmaa
345 сая ₮
Рапид харш хотхонд гал тогоо тусдаа 3 өрөө байр 101мкв
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",94,18
38,3752042,"5.7 сая ₮
Жапан таунд 3 өрөө байр 79.9м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",102,39
18,3759983,"450 сая ₮
Жапан таун хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",140,19
11,3794031,"515.2 сая ₮
King tower хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",145,12
45,3969968,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд байрлалтай, хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",101,46
37,4045013,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",102,38
36,4181852,"435 сая ₮
Кн апартментд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",102,37
35,4182220,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",102,36
9,4214828,"270 сая ₮
Муис-н 2-р байрны хойно 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 6",145,10
8,4214853,"75 сая ₮ 85 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",145,9
0,4224390,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",145,1
1,4224435,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",145,2
6,4224701,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Амгалан",145,7
5,4224715,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",145,6
4,4224739,"515.2 сая ₮
King tower-т 3өрөө байр 114.5м2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",145,5
7,4266590,"663.55 сая ₮
Time classic tower хотын төвд 102.57мкв 3 өрөө
6 өдрийн өмнө
УБ — Чингэлтэй, 50 мянгат",61,8
8,4266618,"5.84 сая ₮
Хотын төвд time classic tower 4 өрөө 116.66м2
6 өдрийн өмнө
УБ — Чингэлтэй, 50 мянгат",61,9
11,4280422,"510 сая ₮
Олонлог академи сургуулийн хажууд 4 өрөө
1 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",80,12
24,4376402,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Амгалан",145,25
30,4623219,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",102,31
9,4780518,"6.57 сая ₮
Time classic tower 5 uruu
6 өдрийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",61,10
0,4897569,"5.4 сая ₮
Хүннү 2222 117м2 4 өрөө
3 долоо хоногийн өмнө
УБ — Хан-Уул, Хүннү",137,1
23,4912614,"143 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",145,24
44,4936553,"345 сая ₮
Хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",101,45
21,4952750,"119 сая ₮
Нүхтэд 58.3м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",73,22
9,5060517,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө 78м2
4 өдрийн өмнө
УБ — Хан-Уул, Яармаг",45,10
3,5091346,"4.8 сая ₮
Худ зайсан royal crown villa хотхонд 5 өрөө 309м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",82,4
5,5138471,"195 сая ₮
Baynzurh 2 oroo 60m2
4 өдрийн өмнө
УБ — Баянзүрх, 14-р хороолол",43,6
31,5203939,"850 сая ₮
Уб сувилалын зүүн урд 7 өрөө дуплекс
1 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",102,32
36,5329778,"392 сая ₮
King towert 98 m2 3 uruu bair
1 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",69,37
46,5357679,"165 сая ₮
Угсармалын гал тогоо тусдаа 3 өрөө байр 80м2
4 өдрийн өмнө
УБ — Баянгол, 3, 4 хороолол",43,47
15,5470523,"3.8 сая ₮
Арцат апартмент 80 мкв 3 өрөө artsat 1t
Өнөөдөр
УБ — Хан-Уул, Нисэх",15,16
27,5603697,"2.6 сая ₮
Зэндмэнэ эрдэнэ хотхоны 1а блокт 2 өрөө байр 53.81м2
6 өдрийн өмнө
УБ — Хан-Уул, Яармаг",65,28
14,5642109,"3.2 сая ₮
Буянт од 2 өрөө 41м2 байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, 15-р хороолол",90,15
51,5736213,"490 сая ₮
Зайсангийн гэрэлт хотхонд 125м2 4 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",67,52
34,5747342,"143.09 сая ₮ 180 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",102,35
24,5810659,"2.45 сая ₮ 2.8 сая ₮
Хануул дүүрэг 4 өрөө байр 139м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",94,25
45,5815321,"171.94 сая ₮
Хангай хотхоны хойно, арга билиг хотхонд 53.73мкв 2 өрөө байр
Өнөөдөр
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",17,46
