Unnamed: 0,id,data,ad_page,ad_order
0,8152639,"756 сая ₮
Зайсанд глобал ресидэнс хотхонд 5 өрөө байр
Өнөөдөр
УБ — Хан-Уул, Зайсан",1,1
1,8152289,"160 сая ₮
Нарны хороололд 1 өрөө байр
Өнөөдөр
УБ — Баянгол, Нарны хороолол",1,2
2,7496667,"105 сая ₮ 135 сая ₮
Баянзүрх дүүрэг 1 дүгээр хороо 1 өрөө орон сууц 29m2
Өнөөдөр
УБ — Баянзүрх, Сансар",1,3
3,8152160,"153 сая ₮
Rapid gal togoo tusdaa 1 uruu
Өнөөдөр
УБ — Хан-Уул, Хурд",1,4
4,8152086,"128 сая ₮
Офицерт x апартментийн хойно 2 өрөө
Өнөөдөр
УБ — Баянзүрх, Офицер",1,5
5,8151182,"108 сая ₮
45м3 2 өрөө байр
Өнөөдөр
УБ — Баянгол, 10-р хороолол",1,6
6,8151536,"165 сая ₮
805р цэргийн ангийн урд 2 өрөө байр
Өнөөдөр
УБ — Баянзүрх, Сансар",1,7
7,8065656,"тина
463 сая ₮
Яармаг белмонте ресиденс 4 өрөө 107.64м2 байр
Virtual tour
Өнөөдөр
УБ — Хан-Уул, Яармаг",1,8
8,8151246,"65 сая ₮
10р хороолол 14б байр 1өрөө
Өнөөдөр
УБ — Баянгол, 10-р хороолол",1,9
9,8056600,"125 сая ₮ 135 сая ₮
Худ 24-р хороо вива сити хотхонд 3 өрөө байр 54.9m2
Өнөөдөр
УБ — Хан-Уул, Viva city",1,10
10,7342376,"395 сая ₮
Бельмонте 2 т 92,7мкв 4 өрөө
Өнөөдөр
УБ — Хан-Уул, Яармаг",1,11
11,7813267,"65 сая ₮
Мүонрт зүүн талд 1 өрөө байр 38мкв
Өнөөдөр
УБ — Чингэлтэй, Чингэлтэй, Хороо 8",1,12
12,8112727,"PEACE PROPERTY LLC
3.05 сая ₮
Халдварт аман хуур 2 хотхонд 79.89мкв 3 өрөө байр гаражийн хамт
Өнөөдөр
УБ — Баянзүрх, Баянзүрх, Хороо 25",1,13
13,8150525,"800 сая ₮
Чингис зочид буудлын хойно royal castle хотхонд 240мкв 5 өрөө орон сууц
Өнөөдөр
УБ — Баянзүрх, Баянзүрх, Хороо 1",1,14
14,8150016,"153 сая ₮
Худ, рапид хороололд 38м² 1 өрөө орон сууц.
Өчигдөр
УБ — Хан-Уул, Хурд",1,15
15,8149932,"4.3 сая ₮
Яармаг Twin tower villa 5 өрөө 154м2 байр
Өчигдөр
УБ — Хан-Уул, Хан-Уул, Хороо 4",1,16
16,8127713,"290 сая ₮
Баянмонгол хороололд 3 өрөө 94.2 м2 байр
Өчигдөр
УБ — Баянзүрх, Баянмонгол хороолол",1,17
17,8145308,"65 сая ₮
Чд тасганы овоо 1 өрөө байр 39мкв
Өчигдөр
УБ — Чингэлтэй, Зурагт",1,18
18,8002125,"444 сая ₮
Оргил стар хотхонд 3 өрөө байр 119.7m2
Өчигдөр
УБ — Хан-Уул, Зайсан",1,19
19,8148820,"Galbadrakh
624 сая ₮
Хүннү плас хотхонд 96мкв 4 өрөө байр
Өчигдөр
УБ — Хан-Уул, Хүннү",1,20
20,8132131,"3.4 сая ₮
Sunset house хотхонд 81мкв 2 өрөө байр
Өчигдөр
УБ — Хан-Уул, Нүхтийн ам",1,21
21,8148600,"237 сая ₮
Хурд рапидад 2 өрөө байр
Өчигдөр
УБ — Сонгинохайрхан, 1-р хороолол",1,22
22,8148461,"210 сая ₮
Их монгол хороололд 58мкв 3 өрөө
Өчигдөр
УБ — Баянзүрх, Их Монгол хороолол",1,23
23,8047615,"96 сая ₮
Алтай хотхоны замын урд гэрэлт өргөө хотхонд 1 өрөө 31м2 байр
Өчигдөр
УБ — Баянгол, Алтай хотхон",1,24
24,8134331,"125 сая ₮
Схд, 29-р хороо драгоны хойно 2 өрөө 56м2 байр
Өчигдөр
УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 29",1,25
25,8148190,"1.2 Тэрбум ₮
Платинум таур 5 өрөө байр
Өчигдөр
УБ — Сүхбаатар, Сүхбаатар, Хороо 1",1,26
26,8148134,"166 сая ₮
Нисэхийн тойрог хүрээ хотхонд 3 өрөө 64.25 м2 байр
Өчигдөр
УБ — Хан-Уул, Хан-Уул, Хороо 16",1,27
27,8083000,"197 сая ₮
Хотын төвд хүнсний 4 дэлгүүрийн хойно төв зам дагуу 68.1м² 2 өрөө байр
Өчигдөр
УБ — Сүхбаатар, Сүхбаатар, Хороо 9",1,28
28,8144123,"80 сая ₮
Офицерт 29мкв 1 өрөө байр
1 өдрийн өмнө
УБ — Баянзүрх, Офицер",1,29
29,8147385,"262 сая ₮
Баянмонгол хороолол 3 өрөө байр 89м2
2 өдрийн өмнө
УБ — Баянзүрх, Баянмонгол хороолол",1,30
30,6898215,"3.9 сая ₮
Jargalan hothond 4 uruu bair 139.8m2
2 өдрийн өмнө
УБ — Хан-Уул, Нархан хотхон",1,31
31,8147273,"324 сая ₮
Lago verde residence 99.00м2 3-н өрөө орон сууц
2 өдрийн өмнө
УБ — Сүхбаатар, Метро Молл",1,32
32,8147226,"Remax Sky Bulgan
170 сая ₮
Зайсан морьтон ресидэнт хотхонд 1 өрөө байр
2 өдрийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 11",1,33
33,8147158,"3.8 сая ₮
Энканто оранж таунд 48мкв 3 өрөө байр
2 өдрийн өмнө
УБ — Хан-Уул, Яармаг",1,34
34,8147141,"103 сая ₮
Viva city -д 1 өрөө 38м2 байр
2 өдрийн өмнө
УБ — Хан-Уул, Viva city",1,35
