,Unnamed: 0.1,Unnamed: 0,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
0,0,29,Bluesky hothond 335 m2 7 oroo bair,"3 сая ₮
үнэ тохирно",2024-03-02,23:17,7678650,,5+ өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 11","
Zaisan, Amerik surguuliin hoino Bluesky hothond 335 m2 7+ uruu bair zarna.",https://www.unegui.mn/adv/7678650_bluesky-hothond-335-m2-bair-zarna/,Паркет,2 тагттай,2011,Байгаа,Модон вакум,6,Төмөр,335.0 м²,3,Лизинггүй,8,Ашиглалтад орсон,4.0,30.0,Зайсан,,,,,,Хан-Уул,Хороо 11,11,3.0,335.0,0.008955223880597015
1,1,28,Төмөр зам богд-ар хороололд 79м2 талбайтай 3 өрөө орон сууц,"210 сая ₮
үнэ тохирно",2024-03-06,11:21,8098431,,3 өрөө,"УБ — Баянгол, Богд-Ар","
Хотын А зэрэглэлд маш сайн байршилтай, тохилог дулаан, өрөөнүүд том саруулхан",https://www.unegui.mn/adv/8098431_tomor-zam-bogd-ar-khoroolold-79m2-talbaitai-3-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2006,Байхгүй,Вакум,9,Бүргэд,79.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,4.0,29.0,Төмөр зам,,,,,,Баянгол,Богд-Ар,,210.0,79.0,2.6582278481012658
2,2,27,Encanto tower 5 өрөө байр 192м2,"1.7 Тэрбум ₮
үнэ тохирно",2024-03-16,12:46,8065768,,5+ өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26",,https://www.unegui.mn/adv/8065768_encanto-tower-5-oroo-bair-khudaldana/,Паркет,2 тагттай,2018,Байгаа,Вакум,18,Бүргэд,192.0 м²,17,Банкны лизингтэй,7,Ашиглалтад орсон,4.0,28.0,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,1700.0,192.0,8.854166666666666
3,3,26,4 өрөө байр 157.0m2,"430 сая ₮
үнэ тохирно",2024-03-17,16:20,8012851,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
Нэг орцтой, 17 айлын цомхон, өвөлдөө маш дулаахан орон сууцанд 4 өрөө байр зарна. Гаражийн дулаан зогсоол дагалдуулна. Гадна машины том зогсоолтой, хүүхдийн тоглоомын талбайтай, нам гүм орчинтой. Агаар цэвэр. 3 өрөө байраар сольж болно.",https://www.unegui.mn/adv/8012851_saruulkhan-dulaan-nam-gum-orchind-4-oroo-bair-zarna-garazh-dagalduulna/,Паркет,2 тагттай,2009,Байгаа,Вакум,5,Бүргэд,157.0 м²,4,Лизинггүй,6,Ашиглалтад орсон,4.0,27.0,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,430.0,157.0,2.738853503184713
4,4,25,"Зайсан, golden vill хотхон 168.28м² 5 өрөө",555.32 сая ₮,2024-03-19,00:27,8134555,,5+ өрөө,"УБ — Хан-Уул, Зайсан","
Зайсан толгойн зүүн талд байрлах ZAISAN GOLDEN VILL хотхонд 168.28 м.кв 5 өрөө байр худалдана

М.кв-н үнэ: 3'300'000₮
Нийт үнэ: 555'324'000₮

▫️ 10/8 давхарт
▫️ Баруун болон зүүн харсан цонхтой
▫️ Гал тогооны тавилга болон суурилагдсан тавилгууд дагалдана
▫️ 2 а.ц өрөөтэй
▫️ Давхартаа 2 айлтай",https://www.unegui.mn/adv/8134555_zaisan-golden-vill-khotkhon-168-28m2-5-oroo/,Паркет,Тагтгүй,2015,Байгаа,Вакум,10,Төмөр,168.28 м²,8,Лизинггүй,6,Ашиглалтад орсон,4.0,26.0,Зайсан,,,,,,Хан-Уул,Зайсан,,555.32,168.28,3.299976230092703
5,5,23,Time classic tower 5 өрөө 129.8м2,"850 сая ₮
910 сая ₮",2024-03-19,05:40,7938617,,5+ өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1","
#Time_classic_tower
#Хотын_ААА_бүс
#Циркийн_баруун_талд

25/20 давхарт зүүн болон хойшоо харсан харууцтай
130мкв 4 өрөө болгон тохижуулсан маш гоё байрыг худалдана
/гэрчилгээн дээр 5 өрөө/

5 давхартаа 2 дулаан зогсоолтой
1 нь 70 сая.",https://www.unegui.mn/adv/7938617_time-classic-tower-5-oroo/,Паркет,1 тагттай,2020,Байгаа,Вакум,25,Төмөр,129.8 м²,20,Лизинггүй,5,Ашиглалтад орсон,4.0,24.0,Талбай,,,,,,Сүхбаатар,Хороо 1,1,850.0,129.8,6.548536209553158
6,6,24,Platinum tower хотхонд 161.64мкв 5 өрөө,7.4 сая ₮,2024-03-19,05:40,8038803,,5+ өрөө,"УБ — Хан-Уул, Хурд","
Хурд Группийн ""PLATINUM TOWER"" хотхонд 5 өрөө орон сууц
Гал тогооны тавилга үүдний болон хувцасны өрөөний тавилгууд дагалдана
161.64м2 I 5 өрөө l дундуур давхарт
-Өдөржин нар үзнэ, Агаар сэлгэлт сайтай
-24 цагийн харуул хамгаалалт, Ресепшин
- 100% бүрэн цутгамал ( 8 балл)
- Өрөө хооронд дуу тусгаарлагчтай
- Царс модон шалтай
-1р сургууль, Сант сургууль, Орос-3 , Элит сургууль ойролцоо",https://www.unegui.mn/adv/8038803_platinum-tower/,Паркет,2 тагттай,2024,Байгаа,Вакум,23,Төмөр вакум,161.64 м²,8,Лизинггүй,6,Ашиглалтад орсон,4.0,25.0,Цэнгэлдэх,,,,,,Хан-Уул,Хурд,,7.4,161.64,0.04578074733976739
7,7,22,Хүннү пласт 5 өрөө байр,1.23 Тэрбум ₮,2024-03-19,08:57,8134757,,5+ өрөө,"УБ — Хан-Уул, Хүннү","
Хүннү Пласт 5 өрөө байр худалдана.
Дээгүүр давхарт
Суурилсан тавилга үлдэнэ
188.76 мкв
Үнэ: 6.5 сая 1.227.000.000₮
2 дулаан зогсоолтой
Үнэ: 1 граш 65 сая",https://www.unegui.mn/adv/8134757_khunnu-plast-5-oroo-bair/,Паркет,3+ тагттай,2023,Байгаа,Вакум,23,Бүргэд,188.76 м²,23,Лизинггүй,8,Ашиглалтад орсон,4.0,23.0,Хүннү,,,,,,Хан-Уул,Хүннү,,1230.0,188.76,6.516211061665607
8,8,21,Бзд 42р хороо 2 өрөө орон сууц 37м2,"110 сая ₮
үнэ тохирно",2024-03-19,09:19,8134657,,2 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 42","
2 өрөө байр зарна, өвөлдөө маш дулаахан, бүрэн цутгамал, нарантуул болон сандей гээд бүх үйлчилгээндээ ойрхон, хажуудаа улсын цэцэрлэгтээ, байрны яг ард шинээр улсын сургууль баригдаж байгаа, мөн яг байрны араар төв замтай холбосон шинээр засмал зам тавигдахаар болсон, хүн ороод шууд амьдрах боломжтой, цэвэрхэн, байрны ордер дээр талбайн хэмжээ 37мкв гэж байгаа боловч талбайн хэмжилтээр 39.89 мкв гэж гарсан байдаг буюу бараг 3мкв илүү байраа хямд зарнаа.",https://www.unegui.mn/adv/8134657_2-oroo-oron-suuts-zarna/,Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,37.0 м²,6,Лизинггүй,2,Ашиглалтад орсон,4.0,22.0,,,,,,,Баянзүрх,Хороо 42,42,110.0,37.0,2.972972972972973
9,9,20,Яармагт 1 өрөө байр 30.4м2,"87 сая ₮
үнэ тохирно",2024-03-19,09:57,8134063,,1 өрөө,"УБ — Хан-Уул, Яармаг","
-Яармаг Нүхт явах зам дагуу 900м зайд Green art хотхон
-Цэвэр агаарт эрүүл орчин
- Дуу чимээ багатай
- Гадна зогсоол талбай ихтэй
- Хотхондоо цэцэрлэгтэй
- Нүүж ороход бэлэн
- Гэрчилгээ бэлэн цэвэрхэн, дулаахан байраа яаралтай зарна
Жич: Энэ орчимд байр авахаар сонирхож байгаа,авах байршлаа тодорхойлсон бэлэн төлөлтөөр авах хүмүүс холбогдоно уу",https://www.unegui.mn/adv/8134063_iaarmagt-tseverkhen-orchind-1-oroo-bair-iaaraltai-zarna/,Паркет,1 тагттай,2022,Байхгүй,Вакум,7,Бүргэд,30.4 м²,6,Лизинггүй,1,Ашиглалтад орсон,4.0,21.0,Яармаг,,,,,,Хан-Уул,Яармаг,,87.0,30.4,2.861842105263158
10,10,19,Голден парк хотхонд 1-өрөө байр,80 сая ₮,2024-03-19,10:43,7961089,,1 өрөө,"УБ — Баянгол, 10-р хороолол","
гэрчилгээ бэлэн",https://www.unegui.mn/adv/7961089_golden-park-khotkhond-1-oroo-bair-zarna/,Паркет,1 тагттай,2012,Байхгүй,Вакум,16,Бүргэд,30.0 м²,11,Лизинггүй,1,Ашиглалтад орсон,4.0,20.0,10-р хороолол,,,,,,Баянгол,10-р хороолол,,80.0,30.0,2.6666666666666665
11,11,18,Арцад апартмент 4 өрөө,3.5 сая ₮,2024-03-19,12:29,8135604,,4 өрөө,"УБ — Хан-Уул, Хүннү","
хүннү моллийн замийн урд байрлах Арцад Апартмент хотгон 4 өрөө байр зарна",https://www.unegui.mn/adv/8135604_artsad-apartment/,Паркет,2 тагттай,2020,Байхгүй,Вакум,10,Бүргэд,105.0 м²,2,Лизинггүй,6,Ашиглалтад орсон,4.0,19.0,Хүннү,,,,,,Хан-Уул,Хүннү,,3.5,105.0,0.03333333333333333
12,12,17,Зайсанд 5 өрөө байр 168.6м2,"450 сая ₮
үнэ тохирно",2024-03-19,13:19,8103063,,5+ өрөө,"УБ — Хан-Уул, Зайсан","
📍ХУД, Зайсан, ОРЧЛОН ТАУНХАУС нам гүм, цэвэр агаартай орчинд 5 өрөө маш гоё орон сууц худалдана

➡️168,6м2 талбайтай
➡️4/4 давхарт
➡️Урагш, хойш ба баруун 3 тал руугаа харсан 6 цонх, 2 балконтой
➡️Мастер унтлагын өрөөтэй
➡️Өндөр таазтай, цэлгэр том өрөөнүүдтэй
➡️Орцондоо 7 айл, давхартаа ганцхан айлтай
➡️Төвийн шугаманд бүрэн холбогдсон
➡️Тусдаа хашаатай
➡️Урагшаа Богд уул, Туул голтойгоо ойрхон, Мишээл цэцэрлэгт хүрээлэнгийн зам руу шууд гарч болдог
💰Үнэ: 450 саяас
➡️Бартерт: Нарны хорооллын намханд том 2 өрөө эсвэл 3 өрөө оролцуулж зөрүү тохирч болно
➡️28,8м2 хэмжээтэй 2 дулаан зогсоолтой, үнэ: 60 сая

🎁Гал тогооны тавилга, үүдний шкафнууд (kitchen all-ынх), абажурнууд гм зүйлс үлдэнэ
♥️Нэр хүндтэй, сайн хөршүүдтэй, тусдаа хашаатай тул аюулгүй, нам гүм орчинтой


#зайсан
#5өрөө
#мишээлцэцэрлэгтхүрээлэн",https://www.unegui.mn/adv/8103063_zaisand-5oroo-tom-bair/,Паркет,2 тагттай,2019,Байгаа,Вакум,4,Төмөр,168.6 м²,4,Лизинггүй,6,Ашиглалтад орсон,4.0,18.0,Зайсан,,,,,,Хан-Уул,Зайсан,,450.0,168.6,2.6690391459074734
13,13,16,Chingis zochid buudliin zuun tald enerel hothon 3 uruu 67m2 bair,"298 сая ₮
үнэ тохирно",2024-03-19,13:58,8042331,,3 өрөө,"УБ — Баянзүрх, Сансар","
chingis zochid buudliin zuun tald enerel tsogtsolbort 3 n uruu zarna.
2 tsonh uragshaa(urd 2 r emneleg bdag tul barilga barigdahgui)
1 tsonh zuun
orchin saitai
zasvar hiisen

gerchilgee belen
Zuuchtai -hamtrahgui!!!",https://www.unegui.mn/adv/8042331_chingis-zochid-buudliin-zuun-tald-enerel-hothon/,Паркет,1 тагттай,2014,Байхгүй,Вакум,13,Бүргэд,67.0 м²,12,Лизинггүй,3,Ашиглалтад орсон,4.0,17.0,Сансар,,,,,,Баянзүрх,Сансар,,298.0,67.0,4.447761194029851
14,14,24,"Viva city - d 30,5 мк 2 өрөө байр","80 сая ₮
үнэ тохирно",2024-03-19,14:05,8128528,,2 өрөө,"УБ — Хан-Уул, Viva city","
Яармаг 4 хороо Вива Сити хотхон - Туул голруу харсан эгнээ буюу N - эгнээнд 5 давхарт 30.5 мк 2 өрөө байр зарна. Туул голруу харсан цонхтой, хааж барилга барих боломжгүй.
Өндөр таазтай тул мансард хийх боломжтой.
Өвөлдөө маш дулаахан. Цаанаасаа дагалдаж ирсэн тавилга болон цахилгаан бараа үлдэнэ.
Анх орсон засвартайгаа!
3 сарын 31 нд суларна.
Хувь хүн, Зууч биш.",https://www.unegui.mn/adv/8128528_viva-city-d-30-5-mk-2-oroo-bair-zarna/,Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Төмөр,30.5 м²,5,Лизинггүй,2,Ашиглалтад орсон,2.0,25.0,Яармаг,,,,,,Хан-Уул,Viva city,,80.0,30.5,2.622950819672131
15,15,15,Өгөөмөр захын хойно нэг өрөө 32.4м2 орон сууц,103.68 сая ₮,2024-03-19,15:21,8136268,,1 өрөө,"УБ — Баянзүрх, Өгөөмөр захын зүүн",,https://www.unegui.mn/adv/8136268_neg-oroo-oron-suuts-zarna/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,32.4 м²,6,Лизинггүй,2,Ашиглалтад орсон,4.0,16.0,Өгөөмөр,,,,,,Баянзүрх,Өгөөмөр захын зүүн,,103.68,32.4,3.2
16,16,14,King tower 166 мкв 4 өрөө дуплекс,"4.1 сая ₮
үнэ тохирно",2024-03-19,15:46,8136505,,4 өрөө,"УБ — Хан-Уул, King Tower","
🎯Кинг Товер 128-р блокд 166 мкв 4 өрөө пентхаус худалдана.

🌱2022 онд ашиглалтанд орсон
🌱Нийт 5 өрөө /166мкв/
🌱22 мкв террастай
🌱18 давхарт
🌱2 а.ц өрөөтэй
🌱Харууц урагшаа болон хойшоо харсан

💰 мкв: 4,100,000 төгрөг. Нийт үнэ 680,600,000 ₮",https://www.unegui.mn/adv/8136505_king-tower-166-mkv-4-oroo-dupleks/,Паркет,1 тагттай,2022,Байхгүй,Вакум,18,Бүргэд,166.0 м²,18,Лизинггүй,4,Ашиглалтад орсон,4.0,15.0,Маршал,,,,,,Хан-Уул,King Tower,,4.1,166.0,0.02469879518072289
