N,id,data,ad_page,ad_order
293,7308644,"4.5 сая ₮ 6 сая ₮
Зайсан гантиг вилла хотхон112.78 мкв 3 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 11",123,37
294,7311314,"3.3 сая ₮
Зайсан 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",93,24
295,7315341,"4.5 сая ₮
Баянгол имарт-н урд 2 өрөө 43м2 байр
3 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",128,56
296,7317322,"165 сая ₮
Нисэхэд seoul garden хотхонд 2 өрөө байр 58.94м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",122,54
297,7317788,"656 сая ₮
Замын цагдаагийн чанх хойно 4 өрөө 166м2
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 25",102,27
298,7322951,"4.6 сая ₮
Southside residence 62.5мкв 2 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",78,26
299,7323869,"120 сая ₮
Яармагт 2 өрөө байр 50 м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",70,25
300,7323954,"157 сая ₮
Каidy хотхонд 2 өрөө байр 47.69m2
3 долоо хоногийн өмнө
УБ — Сүхбаатар",131,9
301,7324328,"4 сая ₮
King tower хотхоны 3 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",74,14
302,7329046,"153 сая ₮
1-р хороололд хархорин хороололд 2 өрөө байр 49,51м2
2 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 1-р хороолол",124,20
303,7329718,"3 сая ₮
Жуковын замын урд 2 өрөө байр 41,37м2
3 долоо хоногийн өмнө
УБ — Баянзүрх, 14-р хороолол",134,59
304,7331637,"260 сая ₮
Худ мишээл экспогийн зүүн урд astra river view хотхонд 3 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",100,16
305,7332607,"702 сая ₮
Хотын төвд 3 өрөө 90м2
5 өдрийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 4",53,60
306,7334702,"Remax Sky Tuvshinbileg
1.3 Тэрбум ₮ 1.4 Тэрбум ₮
Japan town c5-д 3 өрөө байр 133м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",102,49
307,7334956,"3.2 сая ₮
Жуковд 2 өрөө 41m2 байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 14",96,27
308,7337396,"Daashka
1.7 Тэрбум ₮
Seoul royal county 5 uruu
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",76,39
309,7341119,"4.4 сая ₮
Үндэсний цэцэрлэгт хүрээлэнгийн хойно 77.4мкв 3 өрөө
1 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",73,40
310,7341517,"181 сая ₮
Натурын урд 75.6 м2 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",137,57
311,7342376,"390.6 сая ₮
Бельмонте 2 т 92,7мкв 4 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",101,49
312,7352909,"Remax Sky Tuvshinbileg
1.25 Тэрбум ₮
Наран тауэрт 5 өрөө 166м2
2 өдрийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 16",22,17
313,7353185,"245 сая ₮
Худ-т 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",98,22
314,7354483,"420 сая ₮
Kh apartment-д гал тогоо тусдаа 3 өрөө
Virtual tour
1 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",67,23
315,7356448,"310 сая ₮
Ар зайсангын ам white hill residence 3 өрөө байр 59м2
4 өдрийн өмнө
УБ — Хан-Уул, Зайсан",2,39
316,7359839,"245 сая ₮
Рапид хороололд 67,95мкв 2 өрөө байр
Virtual tour
2 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",105,60
317,7360985,"2.5 сая ₮
Шинэ амгаланд 68мкв 3 өрөө 68.11м2 байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Амгалан",124,55
318,7362652,"4.2 сая ₮
Метромолд 4 өрөө байр
3 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 6",132,35
319,7366127,"3.25 сая ₮
Халдвартад 2 өрөө 51м2
1 долоо хоногийн өмнө
УБ — Сүхбаатар",65,8
320,7366382,"155 сая ₮
Буянт ухаа-2 хороололд 68.59 мкв 3 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 10",121,25
321,7366921,"3.1 сая ₮
Мега сити 2 төслийн 114-р блок 2 өрөө 51м2 байр
2 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",112,47
322,7367494,"251.68 сая ₮
Натурын урд 3 өрөө орон сууц
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 25",122,46
323,7368515,"3.4 сая ₮
King tower 225 м.кв 5 өрөө пентхаус
1 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",72,17
324,7369947,"145 сая ₮
Худ нисэх 2 өрөө байр 55мкв
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",78,39
325,7370968,"118 сая ₮ 129 сая ₮
Бзд 2 өрөө 40мкв байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Зүүн 4 зам",137,34
326,7374298,"432 сая ₮
Zaisan blue sky hothon 4 uruu
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",47,32
327,7378185,"4.4 сая ₮
Нутгийн буян happy residence 53.97 мкв 2 өрөө
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",47,48
328,7379997,"5.2 сая ₮
Яармаг хүүшийн ам 3 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",47,25
329,7384689,"122.4 сая ₮
Арцат өргөө 3-р блокод 51м2 2 өрөө байр
4 өдрийн өмнө
УБ — Хан-Уул, Яармаг",42,36
330,7384861,"Remax Sky Onon
1.28 Тэрбум ₮
Platinum tower 166.88 мкв 5 өрөө байр
3 өдрийн өмнө
УБ — Сүхбаатар, 220 мянгат",30,19
331,7385800,"5.8 сая ₮
Хүннү 3-р ээлжинд 4 өрөө байр 96m2
5 өдрийн өмнө
УБ — Хан-Уул, Хүннү",45,47
332,7386621,"240 сая ₮ 255 сая ₮
Натур худалдааны төвийн баруун талд 4 өрөө 110.26м2 орон сууц
3 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 25",126,7
333,7391542,"2.8 сая ₮
Polaris хотхон 2өрөө 57м2
5 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 5",47,34
334,7391568,"1.28 Тэрбум ₮
Platinum tower 166.88 мк.в 5 өрөө байр
3 долоо хоногийн өмнө
УБ — Сүхбаатар",137,15
335,7392476,"5 сая ₮ 5.5 сая ₮
Орчлон сургуулийн баруун талд solaris residence-д 4 өрөө орон сууц 120.16мкв
Өнөөдөр
УБ — Хан-Уул, Хан-Уул, Хороо 15",11,6
336,7393134,"125 сая ₮
Хорооллын эцэст 2 байр 49м2
1 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",71,58
337,7394261,"260 сая ₮
Яармагт 1 давхарын 3 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",74,16
338,7395567,"3 сая ₮
Buyant-od hothond 2 uruu 53.37м2 bair
2 өдрийн өмнө
УБ — Баянзүрх, 14-р хороолол",23,38
339,7395600,"1.38 Тэрбум ₮ 1.6 Тэрбум ₮
Бага тэнгэр сити цогцолборт 4 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 11",125,37
340,7396559,"333.41 сая ₮
Hunnu tower 81,32мкв 3 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Хүннү",109,41
341,7396762,"4.1 сая ₮
Santo life 46.8мкв 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",110,37
342,7397484,"140 сая ₮
Схд-н 27-р хороо орчлон хороололд 3өрөө байр 65м2
3 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 21-р хороолол",132,11
343,7397562,"2.8 сая ₮
Шинэ амгалан хорооллын 4-р ээлжинд 2 өрөө 44.85м2 орон сууц
1 долоо хоногийн өмнө
УБ — Баянзүрх, Чулуун овоо",71,59
344,7397748,"Munkhgerel
1.35 Тэрбум ₮
Sky garden-д 4 өрөө 158m2 байр
Өнөөдөр
УБ — Хан-Уул, River Garden",6,42
345,7398340,"Remax Sky Tumenbayar
325 сая ₮
Ану элчингийн зүүн талд 1 давхарын 93м2 байр
4 өдрийн өмнө
УБ — Сүхбаатар",45,9
346,7401464,"Remax HUB Batjargal
250 сая ₮
Зайсан алтанбогд хотхонд 77.97 мкв 2 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 11",78,58
347,7407362,"193 сая ₮
Офицерт 83мкв 3 өрөө орон сууц
2 долоо хоногийн өмнө
УБ — Баянзүрх, Офицер",113,30
348,7407935,"870 сая ₮
Яармаг vip residence 2 158мкв 4 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",108,42
349,7411504,"3.25 сая ₮
Бзд нарантуулын баруун хойно 3 өрөө байр 70,18м2
Өнөөдөр
УБ — Баянзүрх, Өгөөмөр захын зүүн",6,56
350,7411579,"3.25 сая ₮
Бзд өгөөмөр захын хажууд 50.26m2
5 өдрийн өмнө
УБ — Баянзүрх, Өгөөмөр захын зүүн",51,18
351,7415035,"95 сая ₮
100 айл хангай хотхоны хойно арга билиг хотхонд 35,19мкв 1 өрөө
5 өдрийн өмнө
УБ — Сүхбаатар, 100 айл",2,57
352,7415508,"95 сая ₮
Офицер , х аппартментын урд 1 өрөө байр
6 өдрийн өмнө
УБ — Баянзүрх, Офицер",59,12
353,7415563,"Зөв эргэлт зууч
325 сая ₮
Нарны хороолол хажууд 3 өрөө байр 88мкв
Өнөөдөр
УБ — Баянгол, Нарны хороолол",8,4
354,7417094,"4.9 сая ₮
Яармаг fuji garden хотхонд 4 өрөө 153м2
3 өдрийн өмнө
УБ — Хан-Уул, Яармаг",26,3
355,7417949,"5.2 сая ₮
Зайсан гантиг вилла 2 өрөө байр
4 өдрийн өмнө
УБ — Хан-Уул, Зайсан",44,10
356,7422072,"2.9 сая ₮
Зайсанд гранд мэд эмнэлгийн хажууд сүлд хотхонд 3 өрөө 61м2 байр
Өчигдөр
УБ — Хан-Уул, Зайсан",12,23
357,7422443,"Metropolis real estate agency
2.6 сая ₮
Нисэх оюу хотхон 58.92м2 2 өрөө орон сууц
4 өдрийн өмнө
УБ — Хан-Уул, Нисэх",43,9
358,7423018,"198.48 сая ₮
Офицерт 83мкв 3 өрөө орон сууц
Өнөөдөр
УБ — Баянзүрх, Офицер",5,36
359,7425932,"320 сая ₮
Худ 4-р хороо арцат1 3 өрөө 80мкв байр
4 өдрийн өмнө
УБ — Хан-Уул, Яармаг",45,40
360,7435981,"194.63 сая ₮
Нисэхийн тойрогт 3 өрөө 65м2
Өнөөдөр
УБ — Хан-Уул, Нисэх",5,54
361,7437715,"3.9 сая ₮ 4.2 сая ₮
Seven star residence 2 өрөө байр 69.28м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",117,4
362,7438698,"3.8 сая ₮
Шинэ яармаг хороололд 4 өрөө орон сууц 121м2
Virtual tour
6 өдрийн өмнө
УБ — Хан-Уул, Яармаг",58,29
363,7439294,"358 сая ₮
Park villa 3 өрөө байр 73.15mk2
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",115,2
364,7440956,"360 сая ₮
Нарны хороололд 103мк 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянгол, Нарны хороолол",132,58
365,7441616,"Odbayar
148.28 сая ₮
Баянзүрх хороололд 2 өрөө 51.13мкв орон сууц
5 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 14",55,37
366,7443559,"85 сая ₮
Эрдэнэт хотод 1 өрөө байр 42м2
3 долоо хоногийн өмнө
Орхон, Орхон",138,18
367,7443640,"170 сая ₮ 200 сая ₮
Буянт ухаа 2 хотхонд 3 өрөө орон сууц 68,159м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",101,45
368,7443934,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд 3 өрөө байр 81м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",93,32
369,7444081,"Daashka
644 сая ₮
Зайсанд сүлд хотхон 4 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",85,51
370,7444427,"1.85 Тэрбум ₮
City terrace маршалл хаус хотхонд 6 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Marshall town",124,4
371,7444503,"293.7 сая ₮
Zambuulin apartment 3 өрөө
1 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 20",94,47
372,7444905,"215 сая ₮
Сбд 5 хороолол 2 өрөө байр 60м2
2 долоо хоногийн өмнө
УБ — Сүхбаатар, 5-р хороолол",106,23
373,7447229,"Remax Sky Onon
1.1 Тэрбум ₮
Royal green villa хотхонд 270мкв 4 өрөө орон сууц
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",56,13
374,7448631,"Батцэцэг
760 сая ₮ 858 сая ₮
River plaza хотхонд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Marshall town",94,37
375,7448864,"3.5 сая ₮
Буянт-ухаа тауэрт 3 өрөө байр 77.98m2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",71,26
376,7449309,"Aлтансүх
858 сая ₮
River plaza д 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",67,59
377,7449780,"Munkhgerel
346.32 сая ₮
Global park-д 3 өрөө 79м2
3 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",24,46
378,7449860,"Munkhgerel
4.1 сая ₮
Santo life-д 2 өрөө 54м2
4 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",37,27
379,7450515,"330 сая ₮ 384 сая ₮
Зайсан оргил хотхонд 3 өрөө орон сууц 89м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",101,46
380,7450666,"175 сая ₮ 189 сая ₮
Натурт 2 өрөө дуплекс байр 63м2
2 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",100,3
381,7450748,"2.7 сая ₮
Гэмтлийн хойно Шинэ хороолол хотхонд 2 өрөө 55м2 орон сууц
2 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",112,51
382,7451223,"162.24 сая ₮
Баян бүрдийн тойргийн ард 3 өрөө
1 долоо хоногийн өмнө
УБ — Сүхбаатар, Дөлгөөн нуур",93,42
383,7451849,"3.1 сая ₮
Зайсанд 4 өрөө байр 120м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",83,14
384,7452483,"120 сая ₮
Худ 21-р хороо нисэх 50м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",75,32
385,7453025,"385 сая ₮
Зайсан, sky tower хотхонд 110м2, 4 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Зайсан",31,45
386,7453236,"410.4 сая ₮ 443 сая ₮
Яармагт фермер захтай байранд 4 өрөө 152м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",78,14
387,7454012,"270 сая ₮ 292 сая ₮
Баруун 4 зам, голомт хотхонд 67мкв 2 өрөө байр
5 өдрийн өмнө
УБ — Баянгол, Баруун 4 зам",49,60
388,7454872,"1.8 сая ₮
Нисэхт шүрт хотхонд 2 өрөө 53.57м2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",129,49
389,7457169,"180 сая ₮
Sansar home plaza ard 3 uruu 80m2
3 өдрийн өмнө
УБ — Баянзүрх, Сансар",30,43
390,7458091,"220 сая ₮
Global park хотхонд 3 өрөө
2 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",17,18
391,7459022,"Daashka
850 сая ₮
River plaza 3 өрөө 97м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, River Garden",76,38
392,7460404,"1.34 Тэрбум ₮ 1.56 Тэрбум ₮
Бага тэнгэр сити цогцолбор 4 өрөө
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 11",108,36
393,7462249,"530 сая ₮
Оддын хотхонд 4 өрөө 115м2 байр
2 өдрийн өмнө
УБ — Хан-Уул, Оддын хороолол",22,49
394,7463971,"89 сая ₮
Бзд 14 хороо Шинэ үе хотхонд 33м2 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 14",100,52
395,7464620,"375 сая ₮
Нарны хороолол 3-р байранд 103.6мк 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянгол, Нарны хороолол",123,31
396,7465710,"552.2 сая ₮
Яармаг belmonte residence хотхонд 3 өрөө
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",126,4
397,7467011,"91 сая ₮
Монгол-япон эмнэлэгийн ард 38m2 2 өрөө
3 өдрийн өмнө
УБ — Баянзүрх, Амгалан",31,37
398,7467228,"Мѳѳгий
220 сая ₮
Американ дэнж хотхоны хойно 3 өрөө 80,67м2
3 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",133,6
399,7467968,"2.7 сая ₮
Mодны 2т 2 өрөө
3 долоо хоногийн өмнө
УБ — Баянгол, Баянгол, Хороо 17",130,14
400,7468178,"175 сая ₮
5-р сургуулийн хажууд 2 өрөө байр 29м2
1 сарын өмнө
УБ — Чингэлтэй, Чингэлтэй, Хороо 6",139,35
401,7470927,"3.1 сая ₮
Яармагт cedar city хотхонд 4 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",52,48
402,7472054,"Remax Sky Bat-Uchral
1.17 Тэрбум ₮ 1.3 Тэрбум ₮
Japan town c4 блокд 138м2 4 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Japan town",27,58
403,7473154,"2.4 сая ₮
Пирамид апартментад 3 өрөө байр 87.7m2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",105,5
404,7473693,"440 сая ₮
Урт цагааны урд 4 өрөө байр 104мкв
2 долоо хоногийн өмнө
УБ — Чингэлтэй, Чингэлтэй, Хороо 3",106,15
405,7473864,"320 сая ₮
Шинэ монгол сургуулийн урд 79мкв 3 өрөө байр
5 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 25",49,43
406,7477905,"3.3 сая ₮
Их тойруу худалдааны төвийн дэргэд 2 өрөө 48.31м2 байр
4 өдрийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 9",38,38
407,7477957,"3.6 сая ₮
Яармаг арцат апартмент 1 4 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",80,54
408,7478199,"Daashka
184.3 сая ₮
Схд үлэмж апартмент 2 өрөө
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 21-р хороолол",85,52
409,7479545,"209 сая ₮
Тбд андуудад 1 давхарын ажлын 2 өрөө байр
Өчигдөр
УБ — Баянгол, Төмөр зам",14,32
410,7484547,"139.05 сая ₮
Марал аялал хотхонд 2 өрөө 49.66m2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",87,57
411,7484590,"210 сая ₮
Бзд 50м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, 14-р хороолол",80,5
412,7485403,"555 сая ₮
Могул таунд 4 өрөө байр
4 өдрийн өмнө
УБ — Хан-Уул",38,3
413,7485609,"330 сая ₮ 365 сая ₮
Рапид харш хотхонд бүрэн тавилгатай 3 өрөө байр 102 m2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",73,12
414,7486485,"2.2 сая ₮ 2.5 сая ₮
Москва хороолол баруун талд 2 өрөө
2 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 1-р хороолол",112,28
415,7487284,"300 сая ₮
Бгд-ийн 1-р хороо богд ар хороололд байр 3 өрөө 126м2
4 өдрийн өмнө
УБ — Баянгол, Богд-Ар",39,15
416,7488124,"149 сая ₮
Modnii2 shine 7r tuviin baruun,grand hilliin hoid tald 70m2 3 өрөө
3 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",136,44
417,7489240,"169.6 сая ₮
Эрдэнэт хотод гранд гарден ресиденс хотхонд 2 өрөө байр
1 долоо хоногийн өмнө
Орхон, Орхон",79,19
418,7490123,"Odbayar
263 сая ₮
9 эрдэнэ хотхонд 66мкв 2 өрөө орон сууц
5 өдрийн өмнө
УБ — Баянгол, Нарны хороолол",55,36
419,7490530,"75 сая ₮
10р хороололд 1 өрөө байр 21м2
1 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",64,60
420,7494049,"3.05 сая ₮
Баганат хороололд 86.1мкв мастертай 3 өрөө
Өнөөдөр
УБ — Баянзүрх, Баянзүрх, Хороо 8",5,39
421,7494061,"3.05 сая ₮
Баганат хороололд 2 өрөө 59.5м2
Өнөөдөр
УБ — Баянзүрх, Баянзүрх, Хороо 8",5,38
422,7494448,"5.5 сая ₮ 6.5 сая ₮
Shangrilla н зүүн талд united center т 146 мкв 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 1",101,24
423,7494803,"123 сая ₮
Халдвартын эцэст 51.2мкв 1 өрөө орон сууц
4 өдрийн өмнө
УБ — Баянзүрх, 13-р хороолол",36,56
424,7501408,"2.6 сая ₮
Цайз 16 явах замд 42.07мкв 2 өрөө
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 19",101,15
425,7501940,"Remax Sky Onon
1.45 Тэрбум ₮
Будда виста-д 236мкв 7 өрөө пентхаус байр
Өнөөдөр
УБ — Хан-Уул, Зайсан",5,41
426,7502228,"295 сая ₮
Зайсанд оргил худалдааны төвийн урд 88м2, 3 өрөө
Өчигдөр
УБ — Хан-Уул, Зайсан",13,43
427,7502855,"150 сая ₮
Яармагт ирээдүйн билэг хотхонд 2 өрөө байр 57,79м2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",132,33
428,7503371,"Batka
230 сая ₮
11р хороолол гал тогоо тусдаа 3 өрөө
5 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",52,12
429,7503518,"108.24 сая ₮
Хангай хотхонд 2 өрөө 36м2
2 сарын өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 7",140,8
430,7503805,"160 сая ₮ 185 сая ₮
Натур худалдааны төвийн урд 47м.кв 2 өрөө байр
3 өдрийн өмнө
УБ — Баянзүрх, 13-р хороолол",34,17
431,7503991,"299.4 сая ₮
Төмөр зам, премиум улаанбаатар 4 өрөө орон сууц
2 долоо хоногийн өмнө
УБ — Баянгол, Төмөр зам",116,28
432,7504899,"170 сая ₮
3 хороололд 3 өрөө 80м2 байр
3 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",125,52
433,7507147,"3.8 сая ₮ 4.6 сая ₮
Мишээл резиденс 4 өрөө байр 135м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",94,43
434,7508937,"640 сая ₮
Encanto tower бүрэн тавилгатай 2 өрөө орон сууц 81m2
Өнөөдөр
УБ — Баянзүрх, Баянзүрх, Хороо 26",7,51
435,7509812,"309 сая ₮
Яармагт hunnu towert 3 өрөө байр 81.41м2
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",49,38
436,7511252,"3.5 сая ₮
King tower 105мкв 3 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",105,39
437,7512226,"Naimaа
153.01 сая ₮ 164.78 сая ₮
Бзд энгүүн апартмент 58.85мкв 3 өрөө
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 8",117,26
438,7512603,"1.68 Тэрбум ₮
Regis place-д 150м2 4 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар",69,20
439,7512767,"148.85 сая ₮
3,4-р хороололд Шинэ хороолол хотхонд 2 өрөө 55м2 байр
3 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",127,56
440,7513010,"4.3 сая ₮ 4.6 сая ₮
Кн апартментын зүүн талын байранд 3өрөө 80м2
4 өдрийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",43,36
441,7515928,"682 сая ₮
Циркийн зүүн урд монхаус байранд 124мкв 4 өрөө байр
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 2",120,38
442,7517151,"Remax Sky Altantuul
191 сая ₮ 210 сая ₮
13р хороолол гангарын байранд 63.66мкв 2 өрөө
2 өдрийн өмнө
УБ — Баянзүрх, 13-р хороолол",23,17
443,7517465,"Dashka
191 сая ₮
Гангарын байранд 63.66м2 гал тогоо тусдаа 2 өрөө
4 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 25",42,50
444,7518564,"2.9 сая ₮
Маршал таун, 4 өрөө
4 өдрийн өмнө
УБ — Хан-Уул, Marshall town",38,40
445,7518876,"350 сая ₮
Zaisand 4 uruu bair
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",127,24
446,7521725,"720 сая ₮
Хотын төвд 187мкв 5 өрөө орон сууц
Өнөөдөр
УБ — Сүхбаатар, Сүхбаатар, Хороо 1",11,28
447,7521915,"233 сая ₮
Яармагт 3 өрөө байр 75м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",106,29
448,7521990,"189 сая ₮
Зайсан рeace village хотхонд 61.56мкв 2 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",71,60
449,7525111,"347 сая ₮
Хан уул дүүрэгт 3 өрөө байр 108.45м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 9",97,9
450,7525482,"2.3 сая ₮
Худ 16-хороо 4 бэрх хотхонд 2 өрөө 44.27м2 байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",78,17
451,7525634,"2.35 сая ₮ 2.5 сая ₮
Шинэ толгойт хотхонд 3 өрөө 56.25м2
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 2",99,22
452,7526983,"170 сая ₮
Бзд кино үйлдвэрт 2 өрөө 48.55м2 байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 22",114,17
453,7527230,"316.91 сая ₮
Ану - элчингийн зүүн талд 93,21 м2 4 өрөө орон сууц
1 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 1",88,20
454,7527849,"7.5 сая ₮
Baga tenger city хотхонд 4 өрөө байр 184.04м2
3 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 11",29,40
455,7529271,"Remax Sky Tumenbayar
389 сая ₮
Зайсан, алтанбогд хотхонд 3 өрөө байр 97m2
4 өдрийн өмнө
УБ — Хан-Уул, Зайсан",45,11
456,7532045,"180 сая ₮
Астма эмнэлэгтэй 3-р байранд 2 өрөө байр
5 өдрийн өмнө
УБ — Баянзүрх, 15-р хороолол",49,24
457,7532054,"Bota
2.9 сая ₮
Artsat luxury apartment 3 өрөө орон сууц 69мкв
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",55,53
