Unnamed: 0,id,data,ad_page,ad_order
10,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
5 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",66,11
1,1327550,"200 сая ₮
Сансарт 80мкв 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, Сансар",101,2
9,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
5 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",66,10
22,2317839,"321.8 сая ₮
Зайсанд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",84,23
48,2585427,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Нисэх",55,49
34,2626990,"600 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Зайсан",55,35
33,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
3 өдрийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",55,34
32,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
3 өдрийн өмнө
УБ — Хан-Уул, Нисэх",55,33
14,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
5 өдрийн өмнө
УБ — Сүхбаатар, 11-р хороолол",66,15
11,3752042,"5.7 сая ₮
Жапан таунд 3 өрөө байр 79.9м2
Өчигдөр
УБ — Хан-Уул, Japan town",32,12
56,3759983,"450 сая ₮
Жапан таун хотхонд 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, Japan town",30,57
30,3794031,"515.2 сая ₮
King tower хотхонд 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, King Tower",31,31
42,3969968,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд байрлалтай, хүннү тауэрт 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул",120,43
10,4045013,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
Өчигдөр
УБ — Хан-Уул, Мишээл",32,11
9,4181852,"435 сая ₮
Кн апартментд 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, Хурд",32,10
8,4182220,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, Яармаг",32,9
40,4214828,"270 сая ₮
Муис-н 2-р байрны хойно 2 өрөө байр
1 сарын өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 6",157,41
16,4214853,"75 сая ₮ 85 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
Өчигдөр
УБ — Баянзүрх, 16-р хороолол",31,17
1,4224390,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, Яармаг",31,2
2,4224435,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
Өчигдөр
УБ — Хан-Уул, Нисэх",31,3
15,4224701,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
Өчигдөр
УБ — Баянзүрх, Амгалан",31,16
14,4224715,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, Мишээл",31,15
13,4224739,"515.2 сая ₮
King tower-т 3өрөө байр 114.5м2
Өчигдөр
УБ — Хан-Уул, Зайсан",31,14
22,4266590,"663.55 сая ₮
Time classic tower хотын төвд 102.57мкв 3 өрөө
1 долоо хоногийн өмнө
УБ — Чингэлтэй, 50 мянгат",89,23
23,4266618,"5.84 сая ₮
Хотын төвд time classic tower 4 өрөө 116.66м2
1 долоо хоногийн өмнө
УБ — Чингэлтэй, 50 мянгат",89,24
39,4376402,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
Өчигдөр
УБ — Баянзүрх, Амгалан",31,40
3,4623219,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, Яармаг",32,4
24,4780518,"6.57 сая ₮
Time classic tower 5 uruu
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",89,25
29,4897569,"5.4 сая ₮
Хүннү 2222 117м2 4 өрөө
3 долоо хоногийн өмнө
УБ — Хан-Уул, Хүннү",150,30
37,4912614,"143 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
Өчигдөр
УБ — Хан-Уул, Нисэх",31,38
41,4936553,"345 сая ₮
Хүннү тауэрт 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул",120,42
4,4952750,"119 сая ₮
Нүхтэд 58.3м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",98,5
31,5032440,"600 сая ₮
Зайсан, golden vill хотхон 4 өрөө
Өчигдөр
УБ — Хан-Уул, Зайсан",31,32
23,5060517,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө 78м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",76,24
